word,tag
quarterback,stopword
yards,stopword
qb,stopword
season,stopword
nfl,stopword
touchdown,stopword
wr,stopword
pass,stopword
rb,stopword
threw,action
passes,stopword
team,stopword
win,stopword
games,stopword
yard,stopword
starting,descriptor
quarter,stopword
injury,health
touchdowns,stopword
backup,descriptor
defense,stopword
field,stopword
ap,stopword
coach,stopword
offense,stopword
football,stopword
loss,descriptor
injured,health
fourth,stopword
career,personal
quarterbacks,stopword
interceptions,stopword
passing,stopword
starter,descriptor
te,stopword
victory,descriptor
td,stopword
interception,stopword
concussion,health
ball,stopword
mike,name
receiver,stopword
points,stopword
running,action
record,personal
practice,stopword
lead,stopword
league,stopword
playing,descriptor
led,descriptor
weeks,stopword
shoulder,health
bowl,stopword
johnson,name
straight,stopword
player,stopword
beat,action
top,personal
offensive,stopword
played,descriptor
fantasy,stopword
throwing,action
late,descriptor
pick,stopword
ers,stopword
throw,action
return,stopword
knee,health
pettine,name
wide,stopword
defensive,stopword
plays,stopword
drive,stopword
percent,stopword
zone,stopword
hit,action
afc,stopword
stadium,stopword
super,descriptor
winning,descriptor
replaced,descriptor
final,stopword
score,stopword
chance,stopword
sacked,action
starts,action
players,stopword
sports,stopword
foot,health
goal,personal
missed,action
completed,action
rating,personal
brown,name
injuries,health
rookie,stopword
throws,action
consecutive,stopword
bryant,name
ohio,name
teams,stopword
benched,action
report,stopword
franchise,stopword
returned,action
nov,name
pro,stopword
tds,stopword
passer,descriptor
round,stopword
williams,name
expected,action
center,stopword
allen,name
tight,stopword
losing,descriptor
fans,stopword
thrown,action
history,personal
bill,name
chris,name
overtime,stopword
linebacker,stopword
intercepted,action
bye,stopword
draft,stopword
ari,name
antonio,name
playoff,stopword
streak,descriptor
nfc,stopword
mvp,stopword
ahead,descriptor
thumb,health
playoffs,stopword
seasons,stopword
leading,descriptor
james,name
performance,personal
jackson,name
gb,stopword
caught,action
minutes,stopword
ne,stopword
den,stopword
star,stopword
signed,action
jeremy,name
beckham,name
dan,name
cin,stopword
seconds,stopword
bench,stopword
matchup,stopword
allowed,action
road,stopword
sacks,stopword
lb,stopword
john,name
short,descriptor
thomas,name
healthy,health
pressure,stopword
decision,personal
jordan,name
dal,name
missing,stopword
picked,action
murray,name
jason,name
sd,stopword
suffered,action
texas,stopword
nyg,stopword
sideline,stopword
travis,stopword
video,stopword
oct,stopword
steve,stopword
torn,health
scoring,action
broken,health
tackle,action
hamstring,health
receivers,stopword
ready,descriptor
phi,stopword
atl,stopword
charles,name
veteran,descriptor
favre,name
pit,stopword
rushing,stopword
jac,name
hasn,stopword
cornerback,stopword
calvin,name
rob,name
safety,stopword
passed,action
filling,descriptor
dez,stopword
collarbone,health
heisman,personal
trophy,personal
oregon,stopword
bucs,stopword
doug,name
east,stopword
perfect,descriptor
greg,name
winner,descriptor
sprained,health
sack,stopword
clavicle,health
watkins,name
scored,action
ducks,action
peterson,name
witten,name
kelly,name
graham,name
sidelined,action
lynch,name
returns,action
arlington,name
irving,name
jerry,name
debut,personal
mccoy,name
twitter,stopword
picks,action
broke,health
sammy,name
fan,stopword
garrett,name
undefeated,descriptor
baldwin,name
move,descriptor
robert,name
young,name
olsen,name
absence,personal
dec,stopword
opener,personal
charlotte,name
vernon,name
adrian,name
remaining,personal
