name, media_id
"nfl.com",68146
"sports.yahoo.com",19814
"foxsports.com",123604
"www.foxsports.com",55476
"pro-football-reference.com",89358
"USATODAY.com NFL - Top Stories",4490
"cbssportsnetwork.com",169548
"cbssports.com",25848
"NFL Football News : CBSSports.com",4487
"ESPN.com",4451
"profootballtalk.nbcsports.com",25357
"espn.go.com",24656
"sports.espn.go.com",24927
"matchups.nbcsports.msnbc.com",25782
"scores.nbcsports.msnbd.com",26059
"offthebench.nbcsports.com",26159
"nbcsports.msnbc.com",24745
"www.nfl.com/#spider",68146
"New York Times",1
"Washington Post",2
"USA Today",4
"LA Times",6
"The New York Post",7
"The Daily News New York",8
"San Francisco Chronicle",14
"The Boston Globe",15
"The Huffington Post",314
"Reuters",1089
"FOX News",1092
"BBC",1094
"CNN",1095
"Newsweek ",1098
"Forbes",1104
"MSNBC",1149
"Wall Street Journal",1150
"Daily Mail",1747
"Daily Telegraph",1750
"Guardian",1751
"CBS News",1752
"CNET",4415
"Examiner.com",4418
"TIME.com",4419
"The Oregonian",23
"The Miami Herald",28
"South Florida Sun-Sentinel",39
"Tulsa World ",88
"Bates Line",705
"Brewed Fresh Daily",725
"WEEK-TV NBC",1108
"Star Community Newspapers",1152
"The Star Group",1153
"The Alvardo Star",1155
"Azle News",1156
"Dallas Business Journal",1157
"Today Newspapers Online",1158
"Commerce Journal",1160
"Commercial Recorder",1161
"Daily Commercial Record",1163
"Denton Record-Chronicle",1164
"Ellis County Chronicle",1165
"Ellis County Press",1166
"Farmersville Times",1167
"Focus Daily News",1168
"Fort Worth Business Press  - Homepage",1169
"Johnson City Record Courier",1173
"Herald Banner",1174
"Kaufman Herald",1176
"Lake Cities Sun",1177
"The Monitor",1179
"Park Cities People",1183
"Pilot Point Post-Signal",1184
"Texas Lawyer",1189
"Terrell Tribune",1190
"Aubrey Town Charter",1191
"Waxahachie Daily Light",1192
"Weatherford Democrat",1193
"Wise County Messenger",1194
"Wylie News",1195
"KDTN Daystar",1196
"KDFW Fox 4",1197
"KXAS NBC 5",1198
"WFAA ABC",1199
"KTVT CBS 11",1200
"KERA PBS",1202
"KTXA",1203
"Azteca America",1205
"KUVN Univision",1206
"KDFI My Network TV",1207
"KMPX",1208
"KDAF The CW",1209
"KXTX Telemundo",1211
"TeleFutura",1212
"KATA Multimedios TV",1213
"KFWD",1214
"ION Television",1215
"KERA FM",1216
"KFXR",1217
"KESN",1218
"KHFX",1219
"KLIF",1220
"KLUV",1222
"KSKY",1223
"KVCE",1224
"KRLD",1225
"KTCK",1226
"WBAP",1227
"Dallas Morning News NeighborsGo Blog",1228
"The Agency Blog",1229
"BarkingDogs.org | Taking back our neighborhood!",1230
"A Capital Idea",1232
"Cowtown Chronicles  ",1233
"Dallas Blog",1235
"Dallas Uptown Guide",1236
" Fort Worthology",1238
"Garry's Blog",1239
"Dallas Metblogs",1240
"Pegasus News",1242
"PhotoJournalism",1243
"Round The Mound",1245
"Unfair Park",1246
"Call Newspapers",1247
"Clayton News Daily",1248
"Suburban Journals",1249
"Jefferson City News-Tribune",1250
"Missourian",1251
"New Haven Leader",1252
"The Odessan / Focus on Oak Grove",1253
"The St. Louis American",1254
"St. Louis Business Journal",1255
"St. Louis Daily Record",1256
"Saint Louis Front Page",1257
"Missouri Lawyers Weekly",1258
"St. Louis Riverfront Times",1259
"Sullivan Independent News",1263
"Webster-Kirkwood Times",1264
"South County Times",1265
"Lincoln County Journal",1266
"Troy Free Press Online",1268
"KTVI FOX",1269
"KMOV CBS",1270
"KSDK NBC",1271
"KETC PBS",1272
"KPLR The CW",1273
"KNLC",1274
"WRBU My Network TV",1276
"KDHX",1278
"KEZK-FM",1279
"KMOX",1280
"KSLG",1281
"KTRS",1282
"KWMU",1283
"KFTK",1284
"Talk Radio 1190",1286
"AEC St. Louis  ",1287
"Arch City Chronicle",1288
"Blog Saint Louis",1289
"The Commonspace Blog",1290
"Confluence",1291
"Kitchen Parade",1292
"LO-FI SAINT LOUIS  ",1293
"MayorSlay.com",1294
"Megan and Murray",1295
"The Overland Examiner",1296
"St. Louis Schools Blog",1297
"DiatribeR ",1298
"STLmedia.net",1299
"StlRecruiting",1300
"STL Syndicate",1301
"Urban Review STL  ",1302
"A Veggie Venture",1303
"What's New in Old North",1304
"All Around Cleveland",1306
"Chagrin Valley Times",1307
"Cleveland Jewish News",1309
"Cleveland Stater",1310
"Crain's Cleveland Business",1311
"Euclid Sun Journal",1312
"Maple Heights Press",1315
"Solon Sun - cleveland.com",1316
"The Observer",1317
"WEWS ABC",1319
"WJW Fox",1320
"WKYC NBC",1321
"WOIO CBS",1322
"WUAB",1324
